,Company,sector,annual_return_log,Std,Skewness,Kurtosis
93,CNC,Health Care,-0.11534755070742125,0.5529350818407327,0.012601034454858473,3.5890325561961323
94,CNP,Utilities,-0.22470988937525752,0.6184458127040345,-1.0880198034647617,9.352807559773202
95,CERN,Health Care,0.02108231505689362,0.32894387194037766,0.0733214038389659,1.215046962911587
96,CF,Materials,-0.13776908294155288,0.6088521986855402,-0.6191964901141702,3.8387537480516087
97,SCHW,Financials,0.09488303138612768,0.547385531659619,0.2860317800032731,4.100687286119992
98,CHTR,Communication Services,0.28477106663369006,0.3638970085693745,-0.9402815921836349,10.292017165097668
99,CVX,Energy,-0.2336404305615705,0.6424065779517023,-0.8709040919346633,10.649819568845585
100,CMG,Consumer Discretionary,0.5273407279439233,0.5129686622961098,0.13239336750373026,4.417205890361682
101,CB,Financials,0.021055572274101497,0.5071573926156216,-0.8916672831382599,5.269736537882787
102,CHD,Consumer Staples,0.20651372627567646,0.3383155416327008,0.5423694967591496,7.212471905136432
103,CI,Health Care,-0.08456430173183196,0.5536311573346374,-0.18066491582202993,4.797886094222131
104,CINF,Financials,-0.21981734620958876,0.6146139481771303,-0.08520296159240143,3.1790201560099387
105,CTAS,Industrials,0.23738911453044279,0.5427990905709352,-0.8712579212642636,6.887266739087474
106,CSCO,Information Technology,-0.06327003640386308,0.43539196821268705,-0.27438429009557347,5.75568308285585
107,C,Financials,-0.2436427086149965,0.7042071426791275,-0.4723418203204009,4.468466201939512
108,CFG,Financials,-0.09143809641000418,0.7996474191908451,-0.6505628603684473,4.824649627893474
109,CTXS,Information Technology,0.130353430427001,0.42597646291218255,0.00867142408342023,6.466877898871575
110,CLX,Consumer Staples,0.2828045961653909,0.3337210554297621,0.06235668794410063,9.35066741682234
111,CME,Financials,-0.12041424696005455,0.5018465188339138,-1.5733612703635884,11.237063198148828
112,CMS,Utilities,-0.11749578456817503,0.4019826609008274,-0.18608847970616066,6.716123657410385
113,KO,Consumer Staples,-0.04735946957468695,0.36141210297768966,-0.6241228387734177,3.2101251117149507
114,CTSH,Information Technology,0.29126512568445034,0.5011501200178404,-0.35343662797104963,7.622418044156786
115,CL,Consumer Staples,0.2203479888906509,0.32632299762729644,0.46265717831516684,9.068730872515976
116,CMCSA,Communication Services,0.08829120898237042,0.3938029116397735,0.16888555805874933,3.6952358051087293
117,CMA,Financials,-0.14972751101579948,0.796382849347257,-0.5993751286921489,4.090586190104831
118,CAG,Consumer Staples,0.1279634691788155,0.3460983877399231,-0.210372508117651,5.4457232167107925
119,CXO,Energy,-0.4214348333810337,0.723291596038178,0.09732547161466248,3.198579589913207
120,COP,Energy,-0.45548992918665004,0.7588483238458242,-0.5449249198792687,8.015448226021851
121,ED,Utilities,-0.24730241299533118,0.42597104511294476,-0.00816783049668921,10.717854858043978
122,STZ,Consumer Staples,0.14761495225064725,0.4757019219822131,-0.28660540746375107,8.424211529556812
123,COO,Health Care,-0.03029730614269023,0.41514458347463956,-1.0277700755201085,6.584045321464892
124,CPRT,Industrials,0.23000444732426134,0.45398239902662957,-0.2820147845188733,7.598383698140335
125,GLW,Information Technology,0.23936877587678912,0.5307587810992846,-0.5436962800071148,5.6806900344680304
126,CTVA,Materials,0.39819368709477954,0.528648813058364,-0.7884785555102103,4.9263881394268765
127,COST,Consumer Staples,0.2029147225386876,0.29787499173178594,0.7491656494024937,5.869046349949484
128,CCI,Real Estate,0.0699871326010344,0.4418005187896029,-0.19490910554101748,4.173704319758007
129,CSX,Industrials,0.21372082260462677,0.47814486537932066,-0.5006966145350518,8.24199391347318
